,Customer_ID,prediccion,%_proba
70041,1089859,1.0,0.5162299579768557
70774,1090685,1.0,0.76955777808387
70801,1090720,1.0,0.6339672231234343
70825,1090755,1.0,0.8485885715353519
70827,1090757,1.0,0.9748843115022128
70856,1090813,1.0,0.7235555909063514
70857,1090814,1.0,0.6692376440450178
72538,1093652,1.0,0.5537305515675819
73042,1094227,1.0,0.5222404364389548
73108,1094339,1.0,0.7392934364819134
73151,1094398,1.0,0.500929178911352
73510,1094810,1.0,0.5417010142737769
74190,1095599,1.0,0.5535181123706244
74209,1095623,1.0,0.6272006967831203
74803,1096328,1.0,0.5197708790007076
74861,1096411,1.0,0.5424928534192212
74929,1096493,1.0,0.5641183388833794
75607,1097240,1.0,0.6088801779146482
75608,1097242,1.0,0.6090708985921616
75646,1097312,1.0,0.5046705182474515
76126,1097877,1.0,0.6508109007002337
76130,1097883,1.0,0.5226292035457241
76237,1098045,1.0,0.5421622532938202
76249,1098067,1.0,0.6162155226956907
76252,1098072,1.0,0.8189416100083593
76256,1098078,1.0,0.7390719732210086
76265,1098094,1.0,0.7312479783431092
76271,1098105,1.0,0.7595692041603256
76657,1098541,1.0,0.59068316500368
76992,1098913,1.0,0.7081003001131304
77014,1098941,1.0,0.6009535340586467
77069,1099037,1.0,0.5643767933708153
77960,1100053,1.0,0.6241720898010131
77961,1100054,1.0,0.7357494368810966
77981,1100088,1.0,0.5428721108148887
78019,1100156,1.0,0.5773525303892816
78730,1100976,1.0,0.5154835266275642
80122,1102685,1.0,0.6742888606391708
80142,1102724,1.0,0.5710263202196715
80171,1102767,1.0,0.523248447135035
80190,1102801,1.0,0.509282354217183
80196,1102808,1.0,0.604523889335519
80239,1102891,1.0,0.5899435567089246
80349,1103017,1.0,0.7372910719443705
80841,1103572,1.0,0.5962846105808467
81215,1103999,1.0,0.7474338285864793
82218,1105195,1.0,0.5425862258202026
82223,1105204,1.0,0.5152428727073575
82235,1105223,1.0,0.6700991950256955
82249,1105260,1.0,0.6479614000567463
82254,1105267,1.0,0.5533922357650324
82630,1105721,1.0,0.6329262924401924
82720,1105865,1.0,0.6815524747278672
82726,1105875,1.0,0.5146982725569129
82732,1105888,1.0,0.6342126462195369
82815,1106022,1.0,0.7313535352396066
83306,1106586,1.0,0.5535742511061738
83345,1106646,1.0,0.5707617615346509
83885,1107334,1.0,0.6082954957573002
83971,1107440,1.0,0.634637885646952
84334,1107880,1.0,0.6895938225724485
84824,1108458,1.0,0.5975442329594702
84839,1108481,1.0,0.5397397161265396
84887,1108549,1.0,0.7850724941293683
85322,1109035,1.0,0.6406021205772504
85347,1109073,1.0,0.5707130928927368
85760,1109649,1.0,0.5653121646011804
86662,1110744,1.0,0.5928366855519684
86698,1110802,1.0,0.6850263752845149
87204,1111407,1.0,0.5470673565222569
87443,1111806,1.0,0.670257912898149
87455,1111827,1.0,0.5232633068658217
87722,1112187,1.0,0.6807999209217548
88070,1112620,1.0,0.7744825747148568
88072,1112624,1.0,0.5395269689230908
88088,1112659,1.0,0.6295206383746943
88105,1112684,1.0,0.5655796171685128
88123,1112713,1.0,0.6584448949794818
88341,1112968,1.0,0.6509493546409768
88747,1113483,1.0,0.511409598335035
88774,1113531,1.0,0.639720624866816
88788,1113559,1.0,0.581443724521708
88964,1113806,1.0,0.7299409907327055
88965,1113808,1.0,0.7631346430319533
88977,1113829,1.0,0.605732662785607
88983,1113837,1.0,0.5494643621170674
88985,1113839,1.0,0.5218162744959086
89010,1113899,1.0,0.6664150024881232
89015,1113904,1.0,0.6408309709301204
89022,1113919,1.0,0.6712917395973024
89028,1113930,1.0,0.539616309595832
89032,1113941,1.0,0.5455272698583354
89138,1114089,1.0,0.6311688147259796
89144,1114097,1.0,0.629372651194323
89162,1114122,1.0,0.7904138201152853
89167,1114132,1.0,0.6532329717533635
89183,1114161,1.0,0.5348501901836133
89239,1114270,1.0,0.5557379872667436
89280,1114346,1.0,0.8638728066501725
89359,1114496,1.0,0.6477571621525434
89363,1114505,1.0,0.6587240353385959
89382,1114549,1.0,0.6893125161575451
89388,1114556,1.0,0.5187684887393766
89389,1114557,1.0,0.5811563322498318
89393,1114567,1.0,0.7208640585026619
89427,1114639,1.0,0.6290478988999518
89452,1114690,1.0,0.5066363744997285
89455,1114695,1.0,0.9037563756573336
89468,1114720,1.0,0.5113801056984726
89512,1114803,1.0,0.6886342974197496
89523,1114823,1.0,0.6595431947199193
89550,1114872,1.0,0.6738644716881975
89560,1114892,1.0,0.73461632550989
89567,1114902,1.0,0.6030465146174278
